id,offerer,recipient,transactionHash,blockNumber
0x000013171013ad16a002dd3f0d95c5c35e6864339dde78d84a0168712474ed6e-119,0xc3d96fb2bb878b7700635d439b50d1ee5c2c3b48,0xcfdb9ecd964d72538208a1978fad2826b0989f37,0x000013171013ad16a002dd3f0d95c5c35e6864339dde78d84a0168712474ed6e,15000702
0x000076ab91d51eb0d588fc6b74ee67bc111229c313063f5f88940e339ae786f9-272,0x0378dfbe1150f292e666aa0f668d33064c15bcca,0x78a4b2579c8b6f65e8d17010898412c06fc134d2,0x000076ab91d51eb0d588fc6b74ee67bc111229c313063f5f88940e339ae786f9,14965112
0x000089d0953941088a05bb6d4567fe363e3373f763e3481c380b907f5ef1288e-59,0xff13cbc9f9b94f3c47c1008a52585287985c3d8f,0xfdf566914525a019bdcdbb653e726d1afce685fd,0x000089d0953941088a05bb6d4567fe363e3373f763e3481c380b907f5ef1288e,14965093
0x00009e6b05bd97466c746f6f9f08ce3e9185f37b0b97455d2c0da45885c29752-242,0x7d1f88bc6afca7f4d4c9f46110f7bfaa8d4c9796,0xbb619b861e9a243c709e01ec588f0265c008dd38,0x00009e6b05bd97466c746f6f9f08ce3e9185f37b0b97455d2c0da45885c29752,14975797
0x0000c448e223fe86d38898182558d6e31f6e6a4c7ddd5132447ef36828db5924-366,0x6ac8d19d49eafead8196a5ce3c9d06bf17adce4d,0x5da361cc7dc43a4b96cd79a89cfb41d762badefa,0x0000c448e223fe86d38898182558d6e31f6e6a4c7ddd5132447ef36828db5924,14994317
0x0000d3c47e009ec04a3c738bf6ca2ad95995910e049d08b1bf132b8de20f434f-282,0x1d4c3b9f8f49d6ac44e398f766f520a3cdb0f3d5,0x4ff21f69041edf76dd6f73fe0751468eb0eeee30,0x0000d3c47e009ec04a3c738bf6ca2ad95995910e049d08b1bf132b8de20f434f,14985881
0x00010a4c28e452cb2fbecc1344937b927ba0c4bb925906ca455ef0a0a67c7c43-122,0x53ca9cadca487038344eef8d29e3b6d788df9ae1,0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,0x00010a4c28e452cb2fbecc1344937b927ba0c4bb925906ca455ef0a0a67c7c43,15013214
0x00010a4c28e452cb2fbecc1344937b927ba0c4bb925906ca455ef0a0a67c7c43-123,0x53ca9cadca487038344eef8d29e3b6d788df9ae1,0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,0x00010a4c28e452cb2fbecc1344937b927ba0c4bb925906ca455ef0a0a67c7c43,15013214
0x000159115c93f78431ba13676e9319c43d7d085879efeb8b33ca9fc0a4609c75-192,0x36dc0aa0fb6f2df4e370fedf72642661df859015,0xf20f8ba5c3585724dce4259025cd8eb4a43626fe,0x000159115c93f78431ba13676e9319c43d7d085879efeb8b33ca9fc0a4609c75,15016224
0x0001e7808c4ff66c1b34e3b4f713dc718c90284a2572e44904fef42bea7b22ce-29,0x9eb0b9744545746428ae65f30b8f562fe10e1f11,0xe40be32f37ab196652292fd1945ded0be8a840e7,0x0001e7808c4ff66c1b34e3b4f713dc718c90284a2572e44904fef42bea7b22ce,15003158
0x0001fb6c341ff90e9699baec02692862c9dc74e57080655e625d5b72d97c1357-312,0x7af4e138396005f60c0e790056b7f691ad0c0bc6,0x76287cfd5bafc6f4cf1d13cf98e5df12aad08d7b,0x0001fb6c341ff90e9699baec02692862c9dc74e57080655e625d5b72d97c1357,15007256
0x00023b231ea55c5c2a6e30ee8452cdbc8f5cfc8d74df3a94e9697bac066fd3f4-218,0x3462c00764f6f35982240b8bcba8d35f3b007c19,0xa26e6afd9a12290e282f4ab7e0fae93b29fc8466,0x00023b231ea55c5c2a6e30ee8452cdbc8f5cfc8d74df3a94e9697bac066fd3f4,14986986
0x00024203ee2684292397e2c21611f8f702be8fba57eca90c67c22ad98f03210a-477,0xc9074d6ee8ef7bff303a4e085bb3dc0c605af97f,0x39d763077f1058c3eec01c9a7b7493b07c807dc9,0x00024203ee2684292397e2c21611f8f702be8fba57eca90c67c22ad98f03210a,15015656
0x00025ba840bf4a90022a7afd426b49a99c2cc2dd64aee99e67f10fc4ad83107c-8,0xa655e94c85348746b3d9107dd7f7a082ea079d5e,0x5a62f1f58077a1e6e70588ea54d0c35be8c2fd6e,0x00025ba840bf4a90022a7afd426b49a99c2cc2dd64aee99e67f10fc4ad83107c,14985514
0x000286e380407a9b369af1f8a5474ecaa42e108d2bcc395809e1e79c10d1d370-323,0x80e75ed9062779560831c7808067bc0c673b17a5,0xf144c56b0fdc70cdb48a4d4bbb12547496b4ec01,0x000286e380407a9b369af1f8a5474ecaa42e108d2bcc395809e1e79c10d1d370,14988090
0x0002b17c8e2b32fb1cde58f950bd1fe46179c2395c116b9a38cfb9680493752e-63,0xec7de3aa4e85f4b4219c2be7c3da487460b2d3aa,0x2c16bdacf891061402ca95f54cb8ec5c816c5648,0x0002b17c8e2b32fb1cde58f950bd1fe46179c2395c116b9a38cfb9680493752e,15003770
0x0002c3ac2764044971526c711ea319c4d809f071df77a516d7d60235f1cacca0-176,0x69012192e2886d311a2fa6b6e0c8ea153dcccb7b,0x9f61e2616bc2c0fcc1aecad8340927cc35919890,0x0002c3ac2764044971526c711ea319c4d809f071df77a516d7d60235f1cacca0,15009273
0x00030cd0cbc7dd64c646d5c2979090a5c76973c79823d7930bfecd7954753063-46,0x42e5becc37647709034d68eab0e3115928712a90,0x2ca2ae442e68ae80d8a4f5e2c57566f7c36e2075,0x00030cd0cbc7dd64c646d5c2979090a5c76973c79823d7930bfecd7954753063,15006959
0x000335aee4fae6cbe44e268a5f609b933b00880886604fc8de0b613456de8f7c-21,0xb8632d3d32c15acce94a20a11f14831d0ea1f0bd,0xc75ab68c1b4af04af5477a390d8dbe17931165c4,0x000335aee4fae6cbe44e268a5f609b933b00880886604fc8de0b613456de8f7c,14981423
